idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,terminal_reward,step_reward,micro_reward,cfg_json,error
20,shaped_chain,-1.7900484188087025,0.0008335113525390625,0.05,0.1,0.0004060696332882612,1.0,20,0.95,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}",
21,shaped_chain,-1.7873185930433546,0.0008392333984375,0.05,0.1,0.0004088572966746795,2.0,20,0.95,2.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
22,shaped_chain,-1.7851930121857316,0.0008373260498046875,0.05,0.1,0.00041228744584291717,1.0,20,0.97,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}",
23,shaped_chain,-1.7856001903826417,0.000843048095703125,0.05,0.1,0.0004107157389322917,1.0,20,0.95,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}",
24,shaped_chain,-2.33455095979827,0.0,0.0,0.0,0.0,1.0,20,0.95,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}",
25,shaped_chain,-2.33455095979827,0.0,0.0,0.0,0.0,1.0,20,0.95,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}",
26,shaped_chain,-0.9317832380525816,0.002006371815999349,0.16666666666666666,0.3333333333333333,0.0009774631924099394,1.0,30,0.95,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.0}",
27,shaped_chain,-1.785462681555814,0.0008373260498046875,0.05,0.1,0.00041228744584291717,2.0,20,0.97,2.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
28,shaped_chain,-1.7855540096067244,0.000843048095703125,0.05,0.1,0.0004107157389322917,2.0,20,0.95,2.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
29,shaped_chain,-2.0916315007082327,0.00035953521728515625,0.05,0.05,0.00017703003084599064,1.0,20,0.97,1.0,0,False,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}",
