stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,3,cumulative_return_auc,522198.5,522198.5,143380.15461446013,0.9,0.9007500000000002,19.376698541363226,19.845770171776458,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,4,cumulative_return_auc,521488.5,521488.5,138880.51999647517,0.9,0.9015000000000001,19.094300313024824,19.836398179558817,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,5,cumulative_return_auc,523844.5,523844.5,140716.5990781905,0.9,0.9020000000000001,21.350823854179165,21.350823854179165,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,6,cumulative_return_auc,523431.5,523431.5,139927.80361671222,0.9,0.9012500000000003,20.66422587877714,20.66422587877714,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,7,cumulative_return_auc,522354.5,522354.5,142455.1179631364,0.9,0.9017500000000003,20.35155144434881,20.532879922964725,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,8,cumulative_return_auc,522334.5,522334.5,138778.5512048223,0.9,0.9025000000000003,21.215050631065075,21.215050631065075,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,9,cumulative_return_auc,520767.0,520767.0,142291.90366136777,0.9,0.9017500000000002,20.35797963357251,20.47426462471651,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,0,cumulative_return_auc,521121.5,521121.5,136713.42743989214,0.0,0.0,38.49084465548765,38.71560106087897,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,1,cumulative_return_auc,522774.0,522774.0,128660.12478993126,0.0,0.0,38.490844655487706,38.79021054375978,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,2,cumulative_return_auc,522044.0,522044.0,135891.12196892756,0.0,0.0,38.490844655487706,38.91861902566676,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,3,cumulative_return_auc,521495.5,521495.5,141856.00547948809,0.0,0.0,38.490844655487706,38.6489284282865,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,4,cumulative_return_auc,522639.5,522639.5,132460.81446458353,0.0,0.0,39.99059817775039,39.99059817775039,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,5,cumulative_return_auc,523592.5,523592.5,135138.50166310775,0.0,0.0,42.26151336350861,42.26151336350861,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,6,cumulative_return_auc,522332.5,522332.5,135874.52483293315,0.0,0.0,38.490844655487706,38.76929349284556,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,7,cumulative_return_auc,522414.5,522414.5,136126.45114590632,0.0,0.0,38.490844655487706,38.79374871245509,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,8,cumulative_return_auc,522210.5,522210.5,142592.62219753687,0.0,0.0,39.178126401086274,39.178126401086274,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,vanilla,0.0,0.95,9,cumulative_return_auc,520423.0,520423.0,140069.46960377204,0.0,0.0,38.490844655487706,38.64790701970446,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+0.05,0.05,0.95,0,cumulative_return_auc,426756.0,426756.0,97402.67816585932,0.05,0.048499999999999995,24563.59816803015,26889.009048892898,0,42.0,44.13,False
